invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late,epsilon
INV-2024-0197,2024-04-29,4,2024-07-03,Net 65,65,USD,V069,Titan Security Corp,"1892 Enterprise Ave, San Francisco, AZ 11645",billing@titan-security.com,DV-7671318,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,25854.99,8.25,2133.04,28184.5,2024-07-11,1,5.0
INV-2024-0144,2024-07-24,7,2024-09-01,Net 39,39,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,4068.17,7.5,305.11,8863.33,2024-09-06,1,5.0
INV-2023-0257,2024-01-30,1,2024-02-12,Net 13,13,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,17985.94,8.5,1528.8,18264.53,2024-02-12,0,5.0
INV-2022-0016,2021-12-26,12,2022-02-28,Net 64,64,USD,V052,Pinnacle Tech Corp,"8295 Business Pkwy, New York, TX 94471",billing@pinnacle-tech.com,FS-3357821,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",17,33237.85,8.0,2659.03,37031.22,2022-02-28,0,5.0
INV-2023-0096,2023-05-26,5,2023-06-07,Net 12,12,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,33184.98,7.0,2322.95,30290.15,2023-07-09,1,5.0
INV-2024-0120,2024-08-07,8,2024-09-20,Net 44,44,USD,V092,Pinnacle Capital Co,"7579 Commerce Blvd, Seattle, FL 84478",billing@pinnacle-capital.com,TS-6703394,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",11,38576.55,6.25,2411.03,40828.88,2024-09-20,0,5.0
INV-2022-0207,2022-12-11,12,2023-01-10,Net 30,30,USD,V079,Alpha Partners Inc,"6054 Innovation Rd, Miami, WA 66373",billing@alpha-partners.com,YO-4185714,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,6508.63,8.5,553.23,4024.78,2023-02-20,1,5.0
INV-2024-0008,2024-05-01,5,2024-05-18,Net 17,17,USD,V041,Titan Tech Group,"8572 Tech Park Way, Austin, CA 38732",billing@titan-tech.com,ZS-8757202,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,16449.67,8.0,1315.97,18790.76,2024-06-27,1,5.0
INV-2023-0132,2023-05-07,5,2023-06-18,Net 42,42,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,29329.92,9.0,2639.69,16836.31,2023-06-18,0,5.0
INV-2023-0038,2023-03-19,3,2023-05-20,Net 62,62,USD,V032,Pacific Logistics Inc,"7549 Trade Center Dr, New York, TX 56540",billing@pacific-logistics.com,AB-8153768,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,6840.74,9.0,615.67,11616.17,2023-06-07,1,5.0
INV-2022-0164,2022-08-30,8,2022-08-31,Net 1,1,USD,V055,Beacon Security Co,"2126 Tech Park Way, Dallas, OH 69383",billing@beacon-security.com,JE-4757974,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",6,21887.81,8.0,1751.02,32315.15,2022-09-22,1,5.0
INV-2024-0023,2023-11-24,11,2024-02-02,Net 70,70,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",15,10274.79,8.5,873.36,5261.65,2024-02-23,1,5.0
