invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late,epsilon
INV-2024-0197,2025-12-31,12,2026-01-01,Net 1,1,USD,V069,Titan Security Corp,"1892 Enterprise Ave, San Francisco, AZ 11645",billing@titan-security.com,DV-7671318,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,25854.99,8.25,2133.04,1.0,2026-01-09,1,0.1
INV-2024-0144,2021-01-01,1,2021-04-01,Net 90,90,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,4068.17,7.5,305.11,1.0,2021-04-06,1,0.1
INV-2023-0257,2025-12-31,12,2026-02-03,Net 34,34,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,17985.94,8.5,1528.8,179002.52,2026-02-03,0,0.1
INV-2022-0016,2025-12-31,12,2026-01-01,Net 1,1,USD,V052,Pinnacle Tech Corp,"8295 Business Pkwy, New York, TX 94471",billing@pinnacle-tech.com,FS-3357821,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,33237.85,8.0,2659.03,421570.84,2026-01-01,0,0.1
INV-2023-0096,2025-12-31,12,2026-03-31,Net 90,90,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,33184.98,7.0,2322.95,1.0,2026-05-02,1,0.1
INV-2024-0120,2021-09-19,9,2021-09-20,Net 1,1,USD,V092,Pinnacle Capital Co,"7579 Commerce Blvd, Seattle, FL 84478",billing@pinnacle-capital.com,TS-6703394,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38576.55,6.25,2411.03,1.0,2021-09-20,0,0.1
INV-2022-0207,2025-12-31,12,2026-03-31,Net 90,90,USD,V079,Alpha Partners Inc,"6054 Innovation Rd, Miami, WA 66373",billing@alpha-partners.com,YO-4185714,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,6508.63,8.5,553.23,1.0,2026-05-11,1,0.1
INV-2024-0008,2025-12-31,12,2026-01-01,Net 1,1,USD,V041,Titan Tech Group,"8572 Tech Park Way, Austin, CA 38732",billing@titan-tech.com,ZS-8757202,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,16449.67,8.0,1315.97,28496.2,2026-02-10,1,0.1
INV-2023-0132,2022-05-04,5,2022-08-02,Net 90,90,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,29329.92,9.0,2639.69,1.0,2022-08-02,0,0.1
INV-2023-0038,2021-09-23,9,2021-09-24,Net 1,1,USD,V032,Pacific Logistics Inc,"7549 Trade Center Dr, New York, TX 56540",billing@pacific-logistics.com,AB-8153768,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,6840.74,9.0,615.67,649833.56,2021-10-12,1,0.1
INV-2022-0164,2021-08-26,8,2021-08-27,Net 1,1,USD,V055,Beacon Security Co,"2126 Tech Park Way, Dallas, OH 69383",billing@beacon-security.com,JE-4757974,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,21887.81,8.0,1751.02,21361.15,2021-09-18,1,0.1
INV-2024-0023,2021-01-01,1,2021-04-01,Net 90,90,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,10274.79,8.5,873.36,1.0,2021-04-22,1,0.1
INV-2024-0257,2025-12-31,12,2026-03-31,Net 90,90,USD,V099,Pioneer Works Corp,"1600 Industrial Dr, Los Angeles, GA 29426",billing@pioneer-works.com,RJ-1066150,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",23,42402.46,6.25,2650.15,335326.58,2026-03-31,0,0.1
INV-2024-0065,2023-08-26,8,2023-11-24,Net 90,90,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,37535.5,8.5,3190.52,1.0,2023-11-24,0,0.1
INV-2022-0028,2025-12-31,12,2026-01-01,Net 1,1,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,13831.9,8.0,1106.55,177217.55,2026-01-19,1,0.1
INV-2024-0174,2023-08-31,8,2023-11-29,Net 90,90,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,5047.61,7.0,353.33,340247.93,2023-12-22,1,0.1
INV-2023-0083,2025-12-31,12,2026-01-01,Net 1,1,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,20964.11,8.25,1729.54,261754.05,2026-01-01,0,0.1
INV-2022-0215,2021-01-01,1,2021-04-01,Net 90,90,USD,V056,Global Works Group,"7141 Innovation Rd, Houston, FL 18512",billing@global-works.com,EI-9112074,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8002.68,8.5,680.23,359292.59,2021-04-01,0,0.1
INV-2022-0162,2025-12-31,12,2026-01-01,Net 1,1,USD,V025,Acme Supplies Group,"7676 Innovation Rd, Dallas, OH 77641",billing@acme-supplies.com,LM-5848287,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8423.55,7.0,589.65,1.0,2026-01-01,0,0.1
INV-2024-0014,2022-09-18,9,2022-12-17,Net 90,90,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,36459.85,6.25,2278.74,1.0,2023-01-21,1,0.1
INV-2023-0236,2023-03-09,3,2023-06-07,Net 90,90,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,33049.24,6.25,2065.58,1768361.86,2023-06-07,0,0.1
INV-2022-0176,2023-07-04,7,2023-10-02,Net 90,90,USD,V046,Titan Freight Co,"3445 Venture Blvd, New York, NY 44674",billing@titan-freight.com,OY-3319049,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,18091.54,8.25,1492.55,516238.2,2023-10-02,0,0.1
INV-2023-0005,2021-01-01,1,2021-04-01,Net 90,90,USD,V036,Delta Partners Corp,"4463 Commerce Blvd, New York, IL 34285",billing@delta-partners.com,YQ-6165679,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38169.04,8.5,3244.37,1.0,2021-04-01,0,0.1
INV-2022-0173,2025-12-31,12,2026-03-31,Net 90,90,USD,V078,Beacon Legal LLC,"1581 Tech Park Way, Houston, TX 91974",billing@beacon-legal.com,RG-8449607,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,38054.48,8.0,3044.36,388690.22,2026-05-01,1,0.1
INV-2024-0149,2024-10-31,10,2024-11-01,Net 1,1,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,49818.55,8.0,3985.48,1480614.3,2024-11-05,1,0.1
INV-2024-0145,2025-12-31,12,2026-03-31,Net 90,90,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,7322.23,8.5,622.39,1.0,2026-03-31,0,0.1
INV-2022-0233,2021-01-01,1,2021-01-02,Net 1,1,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8760.81,8.0,700.86,1.0,2021-01-02,0,0.1
INV-2023-0018,2021-01-01,1,2021-04-01,Net 90,90,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,24308.16,8.5,2066.19,1.0,2021-04-01,0,0.1
INV-2023-0153,2021-01-01,1,2021-04-01,Net 90,90,USD,V080,Vanguard Legal Group,"3154 Innovation Rd, Houston, NY 44911",billing@vanguard-legal.com,XN-8021855,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,28252.67,8.5,2401.48,36549.21,2021-04-01,0,0.1
INV-2022-0004,2023-11-02,11,2023-11-26,Net 24,24,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,13856.13,8.0,1108.49,1.0,2023-12-15,1,0.1
INV-2023-0004,2025-12-31,12,2026-03-31,Net 90,90,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",44,37423.3,7.0,2619.63,1.0,2026-03-31,0,0.1
INV-2022-0219,2021-01-01,1,2021-01-02,Net 1,1,USD,V031,Titan Capital LLC,"2971 Industrial Dr, San Francisco, GA 11015",billing@titan-capital.com,AV-9416320,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,22289.85,8.0,1783.19,150727.67,2021-02-04,1,0.1
INV-2022-0104,2021-01-01,1,2021-01-02,Net 1,1,USD,V018,Beacon Partners Group,"7292 Market St, San Francisco, FL 70566",billing@beacon-partners.com,PY-1787494,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,3595.84,8.0,287.67,1.0,2021-01-02,0,0.1
INV-2022-0190,2021-01-01,1,2021-01-02,Net 1,1,USD,V075,Titan Energy Co,"6804 Corporate Ln, Dallas, GA 12482",billing@titan-energy.com,XS-8433533,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,9087.26,8.5,772.42,535660.5,2021-01-02,0,0.1
INV-2023-0055,2021-01-01,1,2021-01-02,Net 1,1,USD,V047,Elite Energy Inc,"6329 Venture Blvd, Atlanta, TX 13596",billing@elite-energy.com,TY-1467010,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,20790.29,8.5,1767.17,1375711.77,2021-01-02,0,0.1
INV-2023-0245,2021-09-09,9,2021-12-08,Net 90,90,USD,V009,Nexus Cloud Inc,"9187 Market St, Chicago, CA 21938",billing@nexus-cloud.com,AA-2404330,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,10545.35,8.0,843.63,216032.48,2021-12-11,1,0.1
INV-2024-0164,2025-12-31,12,2026-03-31,Net 90,90,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,29497.6,8.5,2507.3,1.0,2026-04-17,1,0.1
INV-2023-0160,2025-12-31,12,2026-01-01,Net 1,1,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,13335.19,8.5,1133.49,363584.72,2026-01-06,1,0.1
INV-2023-0026,2025-12-31,12,2026-01-01,Net 1,1,USD,V093,Delta Labs Corp,"7201 Industrial Dr, Atlanta, AZ 11524",billing@delta-labs.com,II-7984720,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",41,24304.85,8.25,2005.15,717677.91,2026-01-01,0,0.1
INV-2024-0069,2021-01-01,1,2021-02-13,Net 43,43,USD,V005,Apex Logistics Co,"7104 Corporate Ln, Austin, AZ 77215",billing@apex-logistics.com,SE-9744220,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,31742.95,8.5,2698.15,54523.3,2021-02-13,0,0.1
INV-2024-0178,2021-01-01,1,2021-01-02,Net 1,1,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,38392.89,8.5,3263.4,1.0,2021-02-15,1,0.1
INV-2022-0127,2025-12-31,12,2026-03-14,Net 73,73,USD,V060,Elite Parts Co,"6665 Commerce Blvd, Miami, TX 29096",billing@elite-parts.com,QA-4681262,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,33019.28,8.0,2641.54,1007527.63,2026-04-07,1,0.1
INV-2022-0048,2021-01-01,1,2021-01-02,Net 1,1,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,12725.45,8.0,1018.04,750787.14,2021-01-02,0,0.1
