invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late,epsilon
INV-2024-0197,2025-12-31,12,2026-03-07,Net 66,66,USD,V069,Titan Security Corp,"1892 Enterprise Ave, San Francisco, AZ 11645",billing@titan-security.com,DV-7671318,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",33,25854.99,8.25,2133.04,46684.13,2026-03-15,1,1.0
INV-2024-0144,2023-08-09,8,2023-08-10,Net 1,1,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,4068.17,7.5,305.11,43513.55,2023-08-15,1,1.0
INV-2023-0257,2023-09-19,9,2023-11-11,Net 53,53,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,17985.94,8.5,1528.8,61837.03,2023-11-11,0,1.0
INV-2022-0016,2021-01-01,1,2021-01-28,Net 27,27,USD,V052,Pinnacle Tech Corp,"8295 Business Pkwy, New York, TX 94471",billing@pinnacle-tech.com,FS-3357821,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",46,33237.85,8.0,2659.03,47251.13,2021-01-28,0,1.0
INV-2023-0096,2023-08-11,8,2023-08-19,Net 8,8,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",28,33184.98,7.0,2322.95,159172.18,2023-09-20,1,1.0
INV-2024-0120,2025-03-29,3,2025-06-15,Net 78,78,USD,V092,Pinnacle Capital Co,"7579 Commerce Blvd, Seattle, FL 84478",billing@pinnacle-capital.com,TS-6703394,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38576.55,6.25,2411.03,1.0,2025-06-15,0,1.0
INV-2022-0207,2023-05-20,5,2023-06-24,Net 35,35,USD,V079,Alpha Partners Inc,"6054 Innovation Rd, Miami, WA 66373",billing@alpha-partners.com,YO-4185714,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",48,6508.63,8.5,553.23,69047.9,2023-08-04,1,1.0
INV-2024-0008,2023-12-21,12,2024-01-10,Net 20,20,USD,V041,Titan Tech Group,"8572 Tech Park Way, Austin, CA 38732",billing@titan-tech.com,ZS-8757202,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,16449.67,8.0,1315.97,49420.08,2024-02-19,1,1.0
INV-2023-0132,2024-03-02,3,2024-04-09,Net 38,38,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",27,29329.92,9.0,2639.69,1.0,2024-04-09,0,1.0
INV-2023-0038,2025-05-26,5,2025-08-24,Net 90,90,USD,V032,Pacific Logistics Inc,"7549 Trade Center Dr, New York, TX 56540",billing@pacific-logistics.com,AB-8153768,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,6840.74,9.0,615.67,69528.15,2025-09-11,1,1.0
INV-2022-0164,2021-03-03,3,2021-06-01,Net 90,90,USD,V055,Beacon Security Co,"2126 Tech Park Way, Dallas, OH 69383",billing@beacon-security.com,JE-4757974,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,21887.81,8.0,1751.02,115255.37,2021-06-23,1,1.0
INV-2024-0023,2021-03-31,3,2021-04-01,Net 1,1,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,10274.79,8.5,873.36,1.0,2021-04-22,1,1.0
INV-2024-0257,2025-12-31,12,2026-01-18,Net 18,18,USD,V099,Pioneer Works Corp,"1600 Industrial Dr, Los Angeles, GA 29426",billing@pioneer-works.com,RJ-1066150,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,42402.46,6.25,2650.15,45296.84,2026-01-18,0,1.0
INV-2024-0065,2023-10-27,10,2023-11-04,Net 8,8,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,37535.5,8.5,3190.52,1.0,2023-11-04,0,1.0
INV-2022-0028,2021-11-04,11,2021-11-16,Net 12,12,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",40,13831.9,8.0,1106.55,18863.9,2021-12-04,1,1.0
INV-2024-0174,2024-10-11,10,2024-10-12,Net 1,1,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",30,5047.61,7.0,353.33,1.0,2024-11-04,1,1.0
INV-2023-0083,2022-12-13,12,2023-02-06,Net 55,55,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",15,20964.11,8.25,1729.54,13269.01,2023-02-06,0,1.0
INV-2022-0215,2024-09-05,9,2024-09-21,Net 16,16,USD,V056,Global Works Group,"7141 Innovation Rd, Houston, FL 18512",billing@global-works.com,EI-9112074,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",23,8002.68,8.5,680.23,49300.75,2024-09-21,0,1.0
INV-2022-0162,2021-12-05,12,2022-02-07,Net 64,64,USD,V025,Acme Supplies Group,"7676 Innovation Rd, Dallas, OH 77641",billing@acme-supplies.com,LM-5848287,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8423.55,7.0,589.65,1.0,2022-02-07,0,1.0
INV-2024-0014,2024-01-22,1,2024-01-23,Net 1,1,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",38,36459.85,6.25,2278.74,13832.54,2024-02-27,1,1.0
INV-2023-0236,2025-12-31,12,2026-02-23,Net 54,54,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,33049.24,6.25,2065.58,84801.66,2026-02-23,0,1.0
